Country,Region,Value,Share 
United States of America ,North America,449898 ,56.2
Netherlands ,Europe,123684 ,15.5
Rest of the World ,Rest of the World,65277 ,8.2
China ,Asia,29446 ,3.7
Panama ,Central America,25340 ,3.2
Colombia ,South America,21410 ,2.7
Brazil ,South America,17085 ,2.1
Finland ,Europe,14173 ,1.8
Curacao ,Caribbean,10359 ,1.3
Mexico ,Central America,8118 ,1
Dominican Republic ,Caribbean,7208 ,0.9
Costa Rica ,Central America,7095 ,0.9
Spain ,Europe,6135 ,0.8
Japan ,Asia,5987 ,0.7
Switzerland ,Europe,4620 ,0.6
Korea Republic (South) ,Asia,4458 ,0.6
