Country,Region,Value,Share 
United States of America ,North America,449.898 ,56.2
Netherlands ,Europe,123.684 ,15.5
Rest of the World ,Rest of the World,65.277 ,8.2
China ,Asia,29.446 ,3.7
Panama ,Central America,25.340 ,3.2
Colombia ,South America,21.410 ,2.7
Brazil ,South America,17.085 ,2.1
Finland ,Europe,14.173 ,1.8
Curacao ,Caribbean,10.359 ,1.3
Mexico ,Central America,8.118 ,1
Dominican Republic ,Caribbean,7.208 ,0.9
Costa Rica ,Central America,7.095 ,0.9
Spain ,Europe,6.135 ,0.8
Japan ,Asia,5.987 ,0.7
Switzerland ,Europe,4.620 ,0.6
Korea Republic (South) ,Asia,4.458 ,0.6
